,prev_line,current_line
6148,うん こだわりのクセがすごい,ちょっと のぼせた～ 水ちょうだい
6149,ちょっと のぼせた～ 水ちょうだい,で？　そっちは 次の対戦相手 決まってんの？
6150,で？　そっちは 次の対戦相手 決まってんの？,いや まだ そっちは どうなん？
6151,いや まだ そっちは どうなん？,俺らは…
6152,俺らは…,お前らとやるに決まってんだろ
6153,お前らとやるに決まってんだろ,そのために 俺は こいつらと組んだんだからな
6154,そのために 俺は こいつらと組んだんだからな,レオ！
6155,レオ！,久しぶり　聞いてよ レオ
6156,久しぶり　聞いてよ レオ,俺 あれから 練習いっぱいしてさ…
6157,俺 あれから 練習いっぱいしてさ…,やめろよ
6158,やめろよ,もう 俺とお前は敵だろ 凪
6159,もう 俺とお前は敵だろ 凪,俺を選ばなかったお前を 俺は ここで たたき潰す
6160,俺を選ばなかったお前を 俺は ここで たたき潰す,つうことで…
6161,つうことで…,やろうぜ 俺らと
6162,やろうぜ 俺らと,逃げんなよ
6163,逃げんなよ,ああ　望むとこっしょ
6164,ああ　望むとこっしょ,馬狼のやりやすいように パスを回しつつ
6165,馬狼のやりやすいように パスを回しつつ,状況に応じて 俺と凪の ホットラインで相手を崩して
6166,状況に応じて 俺と凪の ホットラインで相手を崩して,フィニッシュは自由にいこう
6167,フィニッシュは自由にいこう,オーケー とりま 俺が いっぱい決める感じね
6168,オーケー とりま 俺が いっぱい決める感じね,おい パス出せよ てめえ
6169,おい パス出せよ てめえ,やだ　だって お前は パスくれないじゃん
6170,やだ　だって お前は パスくれないじゃん,それでも よこせ やだよ
6171,それでも よこせ やだよ,よこせ やだってば
6172,よこせ やだってば,やっぱ こいつらが フィールドで共存するのは
6173,やっぱ こいつらが フィールドで共存するのは,厳しそうだし…
6174,厳しそうだし…,俺が２人に適応して
6175,俺が２人に適応して,化学反応を起こすキーマンに なるしかないよな
6176,化学反応を起こすキーマンに なるしかないよな,てか 潔さ なんで あいつらに あおられて即答したの？
6177,てか 潔さ なんで あいつらに あおられて即答したの？,別に ほかの対戦相手 探してからでもよかったんじゃん？
6178,別に ほかの対戦相手 探してからでもよかったんじゃん？,あ～ それは…
6179,あ～ それは…,ナメられたくなかったのも あるけどさ
6180,ナメられたくなかったのも あるけどさ,凪のボールタッチ 馬狼のドリブル そんで 俺のダイレクトシュート
6181,凪のボールタッチ 馬狼のドリブル そんで 俺のダイレクトシュート,この武器を持ってる俺らが 凛たちトップスリーに勝つためには
6182,この武器を持ってる俺らが 凛たちトップスリーに勝つためには,決定的に足りない強さがあると 思ったんだ
6183,決定的に足りない強さがあると 思ったんだ,それって？
6184,それって？,スピードスター 千切豹馬(ひょうま)
6185,スピードスター 千切豹馬(ひょうま),俺は あいつの速さが欲しい
6186,俺は あいつの速さが欲しい,なるほどね
6187,なるほどね,おい 待て
6188,おい 待て,俺にパスを出せる ポストプレイヤーを取れ
6189,俺にパスを出せる ポストプレイヤーを取れ,あのオレンジ頭のフィジカル
6190,あのオレンジ頭のフィジカル,欲しいのは ああいうボールキープ力(りょく)だ
6191,欲しいのは ああいうボールキープ力(りょく)だ,まあ 確かに 國神がいれば 前線でボールが収まりやすいし
6192,まあ 確かに 國神がいれば 前線でボールが収まりやすいし,あと ミドルシュートって武器も あるからな
6193,あと ミドルシュートって武器も あるからな,俺は やっぱ レオかなあ
6194,俺は やっぱ レオかなあ,最後は２人でって約束したし
6195,最後は２人でって約束したし,え… 待って　３人とも 欲しいヤツ バラバラじゃん
6196,え… 待って　３人とも 欲しいヤツ バラバラじゃん,俺には俺の やりたいサッカーがあるからな
6197,俺には俺の やりたいサッカーがあるからな,まあ いいんじゃない？ 今は別に決めなくても
6198,まあ いいんじゃない？ 今は別に決めなくても,勝たなきゃ こっちも 誰かが取られるわけだしさ
6199,勝たなきゃ こっちも 誰かが取られるわけだしさ,よし！　もう一回 フォーメーション 確認しとこう
6200,よし！　もう一回 フォーメーション 確認しとこう,って感じで 玲王がアンカーでバランスを取る
6201,って感じで 玲王がアンカーでバランスを取る,で 俺と千切が 左右から攻め崩していこう
6202,で 俺と千切が 左右から攻め崩していこう,オーケー
6203,オーケー,コンビネーションは練習で鍛えたし 攻撃の破壊力に関しては五分だろ
6204,コンビネーションは練習で鍛えたし 攻撃の破壊力に関しては五分だろ,ああ　あとはディフェンスで 誰が誰のマークにつくかだが…
6205,ああ　あとはディフェンスで 誰が誰のマークにつくかだが…,潔 世一(よいち)は 俺がつく
6206,潔 世一(よいち)は 俺がつく,俺は こいつとサッカーがしたい
6207,俺は こいつとサッカーがしたい,あいつを俺が封じて
6208,あいつを俺が封じて,凪の選択は間違いだったと 証明してやる
6209,凪の選択は間違いだったと 証明してやる,オーケー　じゃあ フィジカル的に 俺が馬狼につくよ
6210,オーケー　じゃあ フィジカル的に 俺が馬狼につくよ,じゃあ 俺は凪ね
6211,じゃあ 俺は凪ね,あとさ 勝ったら誰を取る？
6212,あとさ 勝ったら誰を取る？,あ～
6213,あ～,潔の武器も このチームにハマりゃスゲえし
6214,潔の武器も このチームにハマりゃスゲえし,馬狼の個人技も欲しいけど
6215,馬狼の個人技も欲しいけど,能力値的には凪かな
6216,能力値的には凪かな,俺も同感 何も努力しないで あれなんだろ？
6217,俺も同感 何も努力しないで あれなんだろ？,潜在能力的にも あいつを取る一択
6218,潜在能力的にも あいつを取る一択,で いいよな？　玲王
6219,で いいよな？　玲王,いや… 凪を蹴落として
6220,いや… 凪を蹴落として,俺と同じ気持ちを味わわせてやる ってのも ありかもな
6221,俺と同じ気持ちを味わわせてやる ってのも ありかもな,おいおい だいぶ 私情 入ってるぞ
6222,おいおい だいぶ 私情 入ってるぞ,お前一人のチームじゃないんだから
6223,お前一人のチームじゃないんだから,まっ じゃあ 試合終了時に 多数決でいいんじゃん？
6224,まっ じゃあ 試合終了時に 多数決でいいんじゃん？,どのみち 試合で 全ての答えは出るよ
6225,どのみち 試合で 全ての答えは出るよ,おい お前ら
6226,おい お前ら,“俺”らと 一戦どうだ？
6227,“俺”らと 一戦どうだ？,マ… マッチングしたいんだけど
6228,マ… マッチングしたいんだけど,どうかな？
6229,どうかな？,えっ… お前ら トップスリーグループだろ
6230,えっ… お前ら トップスリーグループだろ,遠慮しとくわ
6231,遠慮しとくわ,行こうぜ
6232,行こうぜ,あ… 待ってよ！
6233,あ… 待ってよ！,おい 何組目だ？ ビビって逃げるヤツばっかだぞ
6234,おい 何組目だ？ ビビって逃げるヤツばっかだぞ,ああ… どうしよう
6235,ああ… どうしよう,誰も試合してくれないまま タイムアップとかになるんじゃ…
6236,誰も試合してくれないまま タイムアップとかになるんじゃ…,ここまできて 逃げるヤツらなんか
6237,ここまできて 逃げるヤツらなんか,倒しても オシャじゃない
6238,倒しても オシャじゃない,あいつらは どうせ脱落する
6239,あいつらは どうせ脱落する,そもそも 俺は やりたくないよ
6240,そもそも 俺は やりたくないよ,潔たちが上がってくるの 待つつもりだし
6241,潔たちが上がってくるの 待つつもりだし,でも でも でも！
6242,でも でも でも！,上がってこなかったら どうすんのさ
6243,上がってこなかったら どうすんのさ,もうダメだ！
6244,もうダメだ！,大丈夫　潔は来るよ
6245,大丈夫　潔は来るよ,もう 負けるわけにはいかない
6246,もう 負けるわけにはいかない,さあ 行くよ 潔
6247,さあ 行くよ 潔,おう！
6248,おう！,蜂楽を取り戻すために こんなとこで立ち止まれない
6249,蜂楽を取り戻すために こんなとこで立ち止まれない,ナイッシュー！　凛ちゃん
6250,ナイッシュー！　凛ちゃん,俺も交ぜてよ
6251,俺も交ぜてよ,あ？　邪魔だ　帰れ
6252,あ？　邪魔だ　帰れ,兄ちゃんを倒したくて やってんだっけ？　サッカー
6253,兄ちゃんを倒したくて やってんだっけ？　サッカー,だったら どうした？　消えろって
6254,だったら どうした？　消えろって,俺 初めて見たよ
6255,俺 初めて見たよ,あんたみたいに 寂しそうにサッカーする人
6256,あんたみたいに 寂しそうにサッカーする人,ケンカ売ってんのか？ おかっぱ
6257,ケンカ売ってんのか？ おかっぱ,俺とやろうよ
6258,俺とやろうよ,楽しくなるよ
6259,楽しくなるよ,なあ ん？
6260,なあ ん？,ヒーローってやつは スゲえ敵と戦うときに
6261,ヒーローってやつは スゲえ敵と戦うときに,こんなにワクワクすんのかな
6262,こんなにワクワクすんのかな,俺と組んでるからだろ 鈍感ヒーロー
6263,俺と組んでるからだろ 鈍感ヒーロー,ハッ… 勝つぞ 千切
6264,ハッ… 勝つぞ 千切,ああ 國神
6265,ああ 國神,俺が全部 ぶち抜いてやる
6266,俺が全部 ぶち抜いてやる,なんでだろう 不思議と怖くないのは
6267,なんでだろう 不思議と怖くないのは,天才たちと 肩を並べているからか
6268,天才たちと 肩を並べているからか,それとも 俺が 強くなったからか
6269,それとも 俺が 強くなったからか,その答えは…
6270,その答えは…,この勝利で証明する！
6271,この勝利で証明する！,いけ 馬狼
6272,いけ 馬狼,お前との化学反応が このゲームを制する鍵になる！
6273,お前との化学反応が このゲームを制する鍵になる！,よお キング
6274,よお キング,俺が玉座から 引きずり降ろしてやるよ
6275,俺が玉座から 引きずり降ろしてやるよ,やってみろ 二等兵！
6276,やってみろ 二等兵！,そんなプレスで俺が止まるかよ
6277,そんなプレスで俺が止まるかよ,どうした？　寄せが甘(あめ)えぞ
6278,どうした？　寄せが甘(あめ)えぞ,なら 来いよ
6279,なら 来いよ,なんだ？　あの守り方 寄せたり離れたり…
6280,なんだ？　あの守り方 寄せたり離れたり…,どういう意図だ？
6281,どういう意図だ？,はいはい そっち行くのは ご自由に
6282,はいはい そっち行くのは ご自由に,あ？
6283,あ？,お前を100パー 止めるのは 不可能だからな
6284,お前を100パー 止めるのは 不可能だからな,そうか！ 外方向へのドリブルは深追いせず
6285,そうか！ 外方向へのドリブルは深追いせず,ミドルシュートの領域内への 侵入だけを阻止する⸺
6286,ミドルシュートの領域内への 侵入だけを阻止する⸺,肉弾ディフェンス
6287,肉弾ディフェンス,國神のフィジカルを生かす 対 馬狼専用マンマーク！
6288,國神のフィジカルを生かす 対 馬狼専用マンマーク！,まっ ここまでして ギリ止められるレベルだけど
6289,まっ ここまでして ギリ止められるレベルだけど,筋肉兵の分際で 頭 使いやがって
6290,筋肉兵の分際で 頭 使いやがって,出せ 馬狼！　こっちだ！
6291,出せ 馬狼！　こっちだ！,うっせえ！　水さすな 下手クソ
6292,うっせえ！　水さすな 下手クソ,こんなヤツ 俺一人で ぶち抜く！
6293,こんなヤツ 俺一人で ぶち抜く！,もう あいつ マジ勝手じゃん
6294,もう あいつ マジ勝手じゃん,どうする？　潔
6295,どうする？　潔,下がってくんな！ 相手陣で張ってろ！
6296,下がってくんな！ 相手陣で張ってろ！,馬狼は俺がフォローして 前につなぐから！
6297,馬狼は俺がフォローして 前につなぐから！,お前に何ができるって？
6298,お前に何ができるって？,覚悟しろ 潔 世一
6299,覚悟しろ 潔 世一,凪は俺が見つけた宝物だ
6300,凪は俺が見つけた宝物だ,この試合で お前から奪い返す！
6301,この試合で お前から奪い返す！,なんだよ こいつ…
6302,なんだよ こいつ…,馬狼 出せ！　今！
6303,馬狼 出せ！　今！,黙ってろ　気が散る！
6304,黙ってろ　気が散る！,俺を使え 馬狼！
6305,俺を使え 馬狼！,出さねえんだろ キング
6306,出さねえんだろ キング,一人で俺たちに勝てると思うな！
6307,一人で俺たちに勝てると思うな！,遅(おせ)えぞ 玲王
6308,遅(おせ)えぞ 玲王,よく耐えた 肉壁
6309,よく耐えた 肉壁,チッ… クソが！
6310,チッ… クソが！,ほら 言わんこっちゃじゃん
6311,ほら 言わんこっちゃじゃん,いくぞ 國神！ もう走ってら！
6312,いくぞ 國神！ もう走ってら！,マジかよ こいつら
6313,マジかよ こいつら,馬狼がパスを出さないと見ての コンボプレス！
6314,馬狼がパスを出さないと見ての コンボプレス！,しかも 切り替え 早(はえ)え！
6315,しかも 切り替え 早(はえ)え！,俺 対 玲王･國神… 完全に数的不利
6316,俺 対 玲王･國神… 完全に数的不利,俺が最終ラインで止めるしかない
6317,俺が最終ラインで止めるしかない,ドリブルで突っ込んでくるか それとも 國神へのパスか
6318,ドリブルで突っ込んでくるか それとも 國神へのパスか,どっちだ？
6319,どっちだ？,ギリギリまで待て どっちにも対応できる間合いを保て
6320,ギリギリまで待て どっちにも対応できる間合いを保て,玲王の選択のタイミングを読め！
6321,玲王の選択のタイミングを読め！,國神だ！　これをカットすれば…
6322,國神だ！　これをカットすれば…,えっ？　パスした相手は…
6323,えっ？　パスした相手は…,千切！
6324,千切！,ドンピシャ 玲王！
6325,ドンピシャ 玲王！,トラップの瞬間は さすがに そのスピードも落ちるよね
6326,トラップの瞬間は さすがに そのスピードも落ちるよね,追いついたよ レッドパンサー
6327,追いついたよ レッドパンサー,一瞬だけな うれしいか？　天才
6328,一瞬だけな うれしいか？　天才,なら…
6329,なら…,俺の影でも踏んでろ！
6330,俺の影でも踏んでろ！,マジか… 初めてマッチアップするけど
6331,マジか… 初めてマッチアップするけど,憎らしいくらい速すぎてムカつく
6332,憎らしいくらい速すぎてムカつく,俺たちのフォーメーションが 完全に破壊された！
6333,俺たちのフォーメーションが 完全に破壊された！,國神のフィジカル
6334,國神のフィジカル,玲王の戦術眼　そして…
6335,玲王の戦術眼　そして…,千切のスピード
6336,千切のスピード,３人が互いの武器を理解し合って 能力を引き出し合うことで
6337,３人が互いの武器を理解し合って 能力を引き出し合うことで,馬狼と凪という天才を凌駕(りょうが)する⸺
6338,馬狼と凪という天才を凌駕(りょうが)する⸺,超高次元なトライ･セッション！
6339,超高次元なトライ･セッション！,うっし！
6340,うっし！,しゃあ！
6341,しゃあ！,チッ… クソが
6342,チッ… クソが,めっちゃいいチームじゃん
6343,めっちゃいいチームじゃん,俄然(がぜん) 燃えてきた
6344,俄然(がぜん) 燃えてきた,俄然 ぶっ潰す！
6345,俄然 ぶっ潰す！,おかえりなさいませ
6346,おかえりなさいませ,ご主人様
6347,ご主人様,バロ・バロキュン
6348,バロ・バロキュン,馬狼特製 キング･ラブ･オムライス
6349,馬狼特製 キング･ラブ･オムライス,ハートましましですぅ～
6350,ハートましましですぅ～,バロ･バロ･キュンですぅ～
6351,バロ･バロ･キュンですぅ～,メイド馬狼って こういうことだよな
6352,メイド馬狼って こういうことだよな,うわ きっつ グロじゃんグロ
6353,うわ きっつ グロじゃんグロ,勝手に想像してんじゃねえ！ クソどもが！
6354,勝手に想像してんじゃねえ！ クソどもが！,あっ 今のいいかも
6355,あっ 今のいいかも,ののしり系メイドカフェとか
6356,ののしり系メイドカフェとか,あっ 確かに
6357,あっ 確かに,おかえりくださいませ
6358,おかえりくださいませ,下手クソども！
6359,下手クソども！,そっちの方がワンチャンはやるかも ビジネスチャンス！
6360,そっちの方がワンチャンはやるかも ビジネスチャンス！,あるな これ
6361,あるな これ,ねえよ　蹴り殺すぞ！
6362,‪‬ ‪３人が互いの武器を理解し合って‬,‪能力を引き出し合うことで‬
6363,‪能力を引き出し合うことで‬,‪馬狼(ばろう)と凪(なぎ)という天才を凌駕(りょうが)する⸺‬
6364,‪馬狼(ばろう)と凪(なぎ)という天才を凌駕(りょうが)する⸺‬,‪超高次元なトライ･セッション！‬
6365,‪超高次元なトライ･セッション！‬,‪‬
6366,‪‬,‪あいつらは強い‬
6367,‪あいつらは強い‬,‪攻守のバランスが‬ ‪超高水準で持続している⸺‬
6368,‪攻守のバランスが‬ ‪超高水準で持続している⸺‬,‪弱点のないチームだ‬
6369,‪弱点のないチームだ‬,‪なのに こんなに‬ ‪試したくて うずうずしてる‬
6370,‪なのに こんなに‬ ‪試したくて うずうずしてる‬,‪新しく強くなった俺を‬ ‪このチームの化学反応を！‬
6371,‪新しく強くなった俺を‬ ‪このチームの化学反応を！‬,‪いくぞ‬
6372,‪いくぞ‬,‪いつでも臨戦態勢‬
6373,‪いつでも臨戦態勢‬,‪命令すんな‬
6374,‪命令すんな‬,‪‬
6375,‪‬,‪死角とオフ･ザ･ボール‬
6376,‪死角とオフ･ザ･ボール‬,‪この新しいピースを‬ ‪俺の空間認識能力と掛け合わせる‬
6377,‪この新しいピースを‬ ‪俺の空間認識能力と掛け合わせる‬,‪これが俺の‬ ‪新しいフィールドビジョン‬
6378,‪これが俺の‬ ‪新しいフィールドビジョン‬,‪敵味方全員の視線を意識しろ‬
6379,‪敵味方全員の視線を意識しろ‬,‪今までより正確に そして繊細に‬ ‪一人一人のプレーが見える‬
6380,‪今までより正確に そして繊細に‬ ‪一人一人のプレーが見える‬,‪ゴールへのルートが イメージが‬ ‪無数に あふれてくる！‬
6381,‪ゴールへのルートが イメージが‬ ‪無数に あふれてくる！‬,‪馬狼！‬
6382,‪馬狼！‬,‪ほら こっちだ 玲王(レオ)‬
6383,‪ほら こっちだ 玲王(レオ)‬,‪俺の方に向く その重心移動‬
6384,‪俺の方に向く その重心移動‬,‪…の逆を突く！‬
6385,‪…の逆を突く！‬,‪かわした！‬ ‪ゴールへの道筋を切り開いた‬
6386,‪かわした！‬ ‪ゴールへの道筋を切り開いた‬,‪今だ　出せ 馬狼！‬
6387,‪今だ　出せ 馬狼！‬,‪ウッソ 無視かよ‬
6388,‪ウッソ 無視かよ‬,‪ハッ… ワンマンキングが‬
6389,‪ハッ… ワンマンキングが‬,‪そりゃ ちと 強引すぎだろ！‬
6390,‪そりゃ ちと 強引すぎだろ！‬,‪うっ…‬
6391,‪うっ…‬,‪くっ…‬
6392,‪くっ…‬,‪あ～ もう‬ ‪千切(ちぎり)は俺が なんとかする‬
6393,‪あ～ もう‬ ‪千切(ちぎり)は俺が なんとかする‬,‪レオにボールを渡すな！‬
6394,‪レオにボールを渡すな！‬,‪分かってる！　でも…‬
6395,‪分かってる！　でも…‬,‪ダメだ このミドルレンジで‬ ‪國神をフリーにさせたら‬
6396,‪ダメだ このミドルレンジで‬ ‪國神をフリーにさせたら‬,‪ぶち抜かれる‬
6397,‪ぶち抜かれる‬,‪いったろ‬
6398,‪いったろ‬,‪しゃおらあ！‬
6399,‪しゃおらあ！‬,‪‬
6400,‪‬,‪ナイッシュー 國神！‬
6401,‪ナイッシュー 國神！‬,‪クソ… 強(つえ)え‬
6402,‪クソ… 強(つえ)え‬,‪おい 馬狼‬
6403,‪おい 馬狼‬,‪いいかげんにしろよ‬
6404,‪いいかげんにしろよ‬,‪あ？‬
6405,‪あ？‬,‪潔が完全にフリーだったろ‬ ‪なんでパス出さなかった？‬
6406,‪潔が完全にフリーだったろ‬ ‪なんでパス出さなかった？‬,‪うっせえ　他人のゴールのために‬ ‪誰がパス出すかよ‬
6407,‪うっせえ　他人のゴールのために‬ ‪誰がパス出すかよ‬,‪バカか お前‬ ‪勝たなきゃ意味ないだろ‬
6408,‪バカか お前‬ ‪勝たなきゃ意味ないだろ‬,‪俺のゴールでな‬
6409,‪俺のゴールでな‬,‪お前らこそ‬ ‪もっと俺のやりやすいように動けよ‬
6410,‪お前らこそ‬ ‪もっと俺のやりやすいように動けよ‬,‪おい やめろよ！‬
6411,‪おい やめろよ！‬,‪一旦 パサーは俺がやるから‬
6412,‪一旦 パサーは俺がやるから‬,‪じゃあ 次は俺ね‬
6413,‪じゃあ 次は俺ね‬,‪俺だろ‬
6414,‪俺だろ‬,‪この２人は合わせられない‬
6415,‪この２人は合わせられない‬,‪このチームは‬ ‪俺がコントロールしなきゃ‬
6416,‪このチームは‬ ‪俺がコントロールしなきゃ‬,‪インプットし直すんだ‬
6417,‪インプットし直すんだ‬,‪この３人で… 凪とも馬狼とも‬ ‪化学反応を起こす選択肢を‬
6418,‪この３人で… 凪とも馬狼とも‬ ‪化学反応を起こす選択肢を‬,‪‬
6419,‪‬,‪俺から見える景色を更新しろ‬
6420,‪俺から見える景色を更新しろ‬,‪俺が このチームを…‬
6421,‪俺が このチームを…‬,‪‬
6422,‪‬,‪ゴールに導く！‬
6423,‪ゴールに導く！‬,‪あ…‬
6424,‪あ…‬,‪マジかよ‬
6425,‪マジかよ‬,‪馬狼へ出しても その先が‬ ‪完全に死んでる‬
6426,‪馬狼へ出しても その先が‬ ‪完全に死んでる‬,‪今のままじゃ‬ ‪馬狼との化学反応は生まれない‬
6427,‪今のままじゃ‬ ‪馬狼との化学反応は生まれない‬,‪じゃあ 凪へのパスコースは…‬
6428,‪じゃあ 凪へのパスコースは…‬,‪ゴールのイメージが‬ ‪無限に湧いてくる！‬
6429,‪ゴールのイメージが‬ ‪無限に湧いてくる！‬,‪凪は動いてるんだ‬ ‪俺からのパスで勝負できるように‬
6430,‪凪は動いてるんだ‬ ‪俺からのパスで勝負できるように‬,‪あいつのオフ･ザ･ボールを‬ ‪感じ取れるレベルにまで‬
6431,‪あいつのオフ･ザ･ボールを‬ ‪感じ取れるレベルにまで‬,‪俺は進化してる‬
6432,‪俺は進化してる‬,‪いくぞ 凪　ここだろ！‬
6433,‪いくぞ 凪　ここだろ！‬,‪速いパス‬ ‪俺と競走する気かよ‬
6434,‪速いパス‬ ‪俺と競走する気かよ‬,‪知ってる？‬ ‪いくら足が速くてもさ‬
6435,‪知ってる？‬ ‪いくら足が速くてもさ‬,‪人間は急に…‬
6436,‪人間は急に…‬,‪後ろには進めない‬
6437,‪後ろには進めない‬,‪なっ…‬
6438,‪なっ…‬,‪スゲえ！‬
6439,‪スゲえ！‬,‪トップスピードで来た‬ ‪千切とは反対方向へのトラップで‬
6440,‪トップスピードで来た‬ ‪千切とは反対方向へのトラップで‬,‪シュートコースを作った‬
6441,‪シュートコースを作った‬,‪俺のイメージの更に上のプレー‬
6442,‪俺のイメージの更に上のプレー‬,‪これが…‬
6443,‪これが…‬,‪‬
6444,‪‬,‪俺とあいつの化学反応だ！‬
6445,‪俺とあいつの化学反応だ！‬,‪いっちょあがり‬
6446,‪いっちょあがり‬,‪ハア… 化け物(もん)かよ‬
6447,‪ハア… 化け物(もん)かよ‬,‪マジか…‬ ‪あいつ 前より すごくなってね？‬
6448,‪マジか…‬ ‪あいつ 前より すごくなってね？‬,‪ナイスパス 潔‬
6449,‪ナイスパス 潔‬,‪もう このまま 俺ら２人で勝つぞ‬
6450,‪もう このまま 俺ら２人で勝つぞ‬,‪おう‬
6451,‪おう‬,‪‬ ‪いや… これで やっとギリ互角‬
6452,‪‬ ‪いや… これで やっとギリ互角‬,‪あとは 馬狼との化学反応‬
6453,‪あとは 馬狼との化学反応‬,‪それが きっと 勝利の鍵だ‬
6454,‪それが きっと 勝利の鍵だ‬,‪なあ 馬狼 聞いてくれ‬
6455,‪なあ 馬狼 聞いてくれ‬,‪やっぱり 今のままじゃ‬ ‪お前からゴールのにおいがしない‬
6456,‪やっぱり 今のままじゃ‬ ‪お前からゴールのにおいがしない‬,‪俺や凪のゴールも‬ ‪考えた動きをしてくれ‬
6457,‪俺や凪のゴールも‬ ‪考えた動きをしてくれ‬,‪そしたら‬ ‪お互いのプレーが生きると思う‬
6458,‪そしたら‬ ‪お互いのプレーが生きると思う‬,‪一人じゃできない化学反応を‬ ‪起こしたいんだ‬
6459,‪一人じゃできない化学反応を‬ ‪起こしたいんだ‬,‪何回言わせんだ 下手クソ‬
6460,‪何回言わせんだ 下手クソ‬,‪俺は俺のゴールで勝つ‬
6461,‪俺は俺のゴールで勝つ‬,‪他人のためにプレーすんなら‬ ‪死んだほうがマシだ‬
6462,‪他人のためにプレーすんなら‬ ‪死んだほうがマシだ‬,‪でもさ 俺へのパスが 次の選択肢を‬ ‪生むことだってあるだろ‬
6463,‪でもさ 俺へのパスが 次の選択肢を‬ ‪生むことだってあるだろ‬,‪それが お前のゴールに‬ ‪つながるかもしれないじゃん‬
6464,‪それが お前のゴールに‬ ‪つながるかもしれないじゃん‬,‪‬ ‪“かもしれない”じゃ ダメだろ‬
6465,‪‬ ‪“かもしれない”じゃ ダメだろ‬,‪“俺が勝ちたいように勝つ”‬ ‪それ以外は全部 却下だ‬
6466,‪“俺が勝ちたいように勝つ”‬ ‪それ以外は全部 却下だ‬,‪だから‬ ‪それじゃ負けるって言ってんだよ‬
6467,‪だから‬ ‪それじゃ負けるって言ってんだよ‬,‪全然オーケー‬
6468,‪全然オーケー‬,‪信念曲げて勝つぐらいなら‬ ‪負けたほうがマシだ‬
6469,‪信念曲げて勝つぐらいなら‬ ‪負けたほうがマシだ‬,‪その考えが‬ ‪自分の可能性 潰してるって‬
6470,‪その考えが‬ ‪自分の可能性 潰してるって‬,‪なんで分かんないんだよ！‬
6471,‪なんで分かんないんだよ！‬,‪は？‬
6472,‪は？‬,‪‬ ‪お前は まだ こんなもんじゃない‬
6473,‪‬ ‪お前は まだ こんなもんじゃない‬,‪もっとスゲえヤツになるって‬ ‪思ったから 俺は お前と組んだんだ‬
6474,‪もっとスゲえヤツになるって‬ ‪思ったから 俺は お前と組んだんだ‬,‪このままじゃ ここで消えるぞ お前‬
6475,‪このままじゃ ここで消えるぞ お前‬,‪‬ ‪おい… 口を慎めよ 下手クソ‬
6476,‪‬ ‪おい… 口を慎めよ 下手クソ‬,‪この能力をもってして‬ ‪なんで勝てねえ…‬
6477,‪この能力をもってして‬ ‪なんで勝てねえ…‬,‪俺に 一番イラついてんのは‬
6478,‪俺に 一番イラついてんのは‬,‪俺に決まってんだろ タコ‬
6479,‪俺に決まってんだろ タコ‬,‪あっ…‬
6480,‪あっ…‬,‪何が化学反応だ‬
6481,‪何が化学反応だ‬,‪何が お互いを生かすプレーだ‬
6482,‪何が お互いを生かすプレーだ‬,‪そりゃ‬ ‪お前のやりたいサッカーだろ‬
6483,‪そりゃ‬ ‪お前のやりたいサッカーだろ‬,‪ヘド出るぜ マジで‬
6484,‪ヘド出るぜ マジで‬,“俺の言うとおりに やれ”
6485,“俺の言うとおりに やれ”,そう言ってるようにしか
6486,そう言ってるようにしか,聞こえねえんだよ 下手クソ
6487,聞こえねえんだよ 下手クソ,あっ…
6488,あっ…,‪‬ ‪俺もお前も 所詮 同じエゴイスト‬
6489,‪‬ ‪俺もお前も 所詮 同じエゴイスト‬,‪やりたいようにしかできねえ‬ ‪生き物なんだよ‬
6490,‪やりたいようにしかできねえ‬ ‪生き物なんだよ‬,‪俺を支配できると思うな‬
6491,‪俺を支配できると思うな‬,‪もういいんじゃない？‬
6492,‪もういいんじゃない？‬,‪馬狼にこだわらなくても‬
6493,‪馬狼にこだわらなくても‬,‪俺ら２人で勝とうよ‬
6494,‪俺ら２人で勝とうよ‬,‪ああ… そうだな‬
6495,‪ああ… そうだな‬,‪クソッ なんで こんなに‬ ‪馬狼にこだわってんだ 俺は‬
6496,‪クソッ なんで こんなに‬ ‪馬狼にこだわってんだ 俺は‬,‪この試合に勝つためか？‬
6497,‪この試合に勝つためか？‬,‪それとも 馬狼の歯がゆい現状を‬ ‪もったいないと思うからか？‬
6498,‪それとも 馬狼の歯がゆい現状を‬ ‪もったいないと思うからか？‬,‪どうすれば‬ ‪馬狼と化学反応が起こせる？‬
6499,‪どうすれば‬ ‪馬狼と化学反応が起こせる？‬,‪それにしても あいつ‬
6500,‪それにしても あいつ‬,‪あんだけ通用してないくせに‬ ‪よく まだ王様気分でいられるよね‬
6501,‪あんだけ通用してないくせに‬ ‪よく まだ王様気分でいられるよね‬,‪えっ…‬
6502,‪えっ…‬,‪負けを認めなきゃ‬
6503,‪負けを認めなきゃ‬,‪本当の悔しさなんて‬ ‪手に入んないのにさ‬
6504,‪本当の悔しさなんて‬ ‪手に入んないのにさ‬,‪‬
6505,‪‬,‪なあ 潔 世一(よいち)‬
6506,‪なあ 潔 世一(よいち)‬,‪俺には理解できねえんだわ‬
6507,‪俺には理解できねえんだわ‬,‪凪が なんで‬ ‪お前みたいなヤツを選んだのか‬
6508,‪凪が なんで‬ ‪お前みたいなヤツを選んだのか‬,‪なんだよ こいつ‬ ‪いちいち めんどくせえな‬
6509,‪なんだよ こいつ‬ ‪いちいち めんどくせえな‬,‪知るかよ！‬
